shape_id,shape_pt_lat,shape_pt_lon,shape_pt_x,shape_pt_y,shape_pt_sequence,shape_dist_traveled
S1-Sa03-12-n1-0,47.613320,-122.332541,1270656.2,227321.7,10001,0.000
S1-Sa03-12-n1-0,47.613293,-122.332607,1270639.8,227312.0,10002,0.004
S1-Sa03-12-n1-0,47.613066,-122.333151,1270504.0,227231.8,10003,0.033
S1-Sa03-12-n1-0,47.612834,-122.333706,1270365.5,227149.9,10004,0.064
S1-Sa03-12-n1-0,47.612602,-122.334261,1270227.0,227068.1,10005,0.094
S1-Sa03-12-n1-0,47.612371,-122.334814,1270088.9,226986.5,10006,0.125
S1-Sa03-12-n1-0,47.612138,-122.335372,1269949.7,226904.2,10007,0.155
S1-Sa03-12-n1-0,47.611908,-122.335922,1269812.3,226822.9,10008,0.186
S1-Sa03-12-n1-0,47.611710,-122.336396,1269694.0,226752.9,10009,0.212
S1-Sa03-12-n1-0,47.611710,-122.336396,1269694.0,226752.9,20001,0.212
S1-Sa03-12-n1-0,47.611674,-122.336482,1269672.5,226740.2,20002,0.216
S1-Sa03-12-n1-0,47.611454,-122.337015,1269539.5,226662.5,20003,0.246
S1-Sa03-12-n1-0,47.611209,-122.337590,1269396.0,226576.1,20004,0.277
S1-Sa03-12-n1-0,47.611135,-122.337767,1269351.8,226550.0,20005,0.287
S1-Sa03-12-n1-0,47.611050,-122.337972,1269300.6,226519.9,20006,0.298
S1-Sa03-12-n1-0,47.611050,-122.337972,1269300.6,226519.9,30001,0.298
S1-Sa03-12-n1-0,47.610914,-122.338301,1269218.7,226471.7,30002,0.316
S1-Sa03-12-n1-0,47.610827,-122.338504,1269168.0,226441.1,30003,0.328
S1-Sa03-12-n1-0,47.610787,-122.338596,1269144.9,226426.8,30004,0.333
S1-Sa03-12-n1-0,47.610745,-122.338700,1269119.0,226412.1,30005,0.338
S1-Sa03-12-n1-0,47.610512,-122.339258,1268979.8,226329.7,30006,0.369
S1-Sa03-12-n1-0,47.610280,-122.339811,1268841.7,226248.0,30007,0.399
S1-Sa03-12-n1-0,47.609287,-122.338902,1269058.7,225881.4,30008,0.480
S1-Sa03-12-n1-0,47.609521,-122.338343,1269198.4,225964.0,30009,0.511
S1-Sa03-12-n1-0,47.609752,-122.337791,1269336.0,226045.5,30010,0.541
S1-Sa03-12-n1-0,47.609986,-122.337232,1269475.7,226128.2,30011,0.572
S1-Sa03-12-n1-0,47.610129,-122.336888,1269561.4,226178.9,30012,0.591
S1-Sa03-12-n1-0,47.610129,-122.336888,1269561.4,226178.9,40001,0.591
S1-Sa03-12-n1-0,47.610216,-122.336682,1269613.0,226209.5,40002,0.602
S1-Sa03-12-n1-0,47.610448,-122.336126,1269751.6,226291.4,40003,0.633
S1-Sa03-12-n1-0,47.610680,-122.335572,1269889.9,226373.3,40004,0.663
S1-Sa03-12-n1-0,47.610909,-122.335024,1270026.6,226454.2,40005,0.693
S1-Sa03-12-n1-0,47.611098,-122.334573,1270139.3,226520.9,40006,0.718
S1-Sa03-12-n1-0,47.611098,-122.334573,1270139.3,226520.9,50001,0.718
S1-Sa03-12-n1-0,47.611144,-122.334462,1270167.0,226537.3,50002,0.724
S1-Sa03-12-n1-0,47.611373,-122.333915,1270303.6,226618.1,50003,0.754
S1-Sa03-12-n1-0,47.611608,-122.333352,1270444.0,226701.2,50004,0.785
S1-Sa03-12-n1-0,47.611868,-122.332732,1270598.9,226792.9,50005,0.819
S1-Sa03-12-n1-0,47.611868,-122.332732,1270598.9,226792.9,60001,0.819
S1-Sa03-12-n1-0,47.612073,-122.332242,1270721.0,226865.2,60002,0.846
S1-Sa03-12-n1-0,47.612422,-122.331408,1270929.2,226988.5,60003,0.892
S1-Sa03-12-n1-0,47.612422,-122.331408,1270929.2,226988.5,70001,0.892
S1-Sa03-12-n1-0,47.612537,-122.331132,1270998.1,227029.3,70002,0.907
S1-Sa03-12-n1-0,47.612774,-122.330582,1271135.5,227113.0,70003,0.937
S1-Sa03-12-n1-0,47.612867,-122.330364,1271189.8,227145.9,70004,0.949
S1-Sa03-12-n1-0,47.612954,-122.330162,1271240.2,227176.8,70005,0.961
S1-Sa03-12-n1-0,47.613061,-122.329912,1271302.8,227214.6,70006,0.974
S1-Sa03-12-n1-0,47.613468,-122.328911,1271552.4,227358.0,70007,1.029
S1-Sa03-12-n1-0,47.613641,-122.328498,1271655.6,227419.2,70008,1.052
S1-Sa03-12-n1-0,47.613641,-122.328498,1271655.6,227419.2,80001,1.052
S1-Sa03-12-n1-0,47.613697,-122.328362,1271689.4,227439.2,80002,1.059
S1-Sa03-12-n1-0,47.613932,-122.327803,1271829.0,227522.1,80003,1.090
S1-Sa03-12-n1-0,47.614047,-122.327522,1271899.0,227562.5,80004,1.105
S1-Sa03-12-n1-0,47.614074,-122.327434,1271921.0,227572.0,80005,1.110
S1-Sa03-12-n1-0,47.614091,-122.327282,1271958.5,227577.5,80006,1.117
S1-Sa03-12-n1-0,47.614090,-122.326819,1272072.8,227574.9,80007,1.139
S1-Sa03-12-n1-0,47.615220,-122.326803,1272084.8,227987.0,80008,1.217
S1-Sa03-12-n1-0,47.615217,-122.326185,1272237.1,227982.8,80009,1.245
S1-Sa03-12-n1-0,47.615221,-122.325527,1272399.3,227981.1,80010,1.276
S1-Sa03-12-n1-0,47.615226,-122.324633,1272619.8,227978.7,80011,1.318
S1-Sa03-12-n1-0,47.615226,-122.324633,1272619.8,227978.7,90001,1.318
S1-Sa03-12-n1-0,47.615227,-122.324471,1272659.8,227978.3,90002,1.326
S1-Sa03-12-n1-0,47.615233,-122.323414,1272920.5,227975.5,90003,1.375
S1-Sa03-12-n1-0,47.615228,-122.322128,1273237.5,227967.5,90004,1.435
S1-Sa03-12-n1-0,47.615232,-122.321609,1273365.5,227966.4,90005,1.459
S1-Sa03-12-n1-0,47.615232,-122.321609,1273365.5,227966.4,100001,1.459
