route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
10-2256,GLINE_2-S1-Sa-Saturday-03,57942543-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421903,S1-Sa03-10-s1-1
10-2256,GLINE_2-S1-Sa-Saturday-03,57942544-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421905,S1-Sa03-10-s1-1
10-2256,GLINE_2-S1-Sa-Saturday-03,57942545-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421905,S1-Sa03-10-s1-1
10-2256,GLINE_2-S1-Sa-Saturday-03,57942546-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421903,S1-Sa03-10-s1-1
10-2256,GLINE_2-S1-Sa-Saturday-03,57942547-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421903,S1-Sa03-10-s1-1
10-2256,GLINE_2-S1-Sa-Saturday-03,57942548-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421904,S1-Sa03-10-s1-1
10-2256,GLINE_2-S1-Sa-Saturday-03,57942549-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421905,S1-Sa03-10-s1-1
10-2256,GLINE_2-S1-Sa-Saturday-03,57942550-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421903,S1-Sa03-10-s1-1
10-2256,GLINE_2-S1-Sa-Saturday-03,57942551-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421904,S1-Sa03-10-s1-1
10-2256,GLINE_2-S1-Sa-Saturday-03,57942552-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421904,S1-Sa03-10-s1-1
10-2256,GLINE_2-S1-Sa-Saturday-03,57942553-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421903,S1-Sa03-10-s1-1
10-2256,GLINE_2-S1-Sa-Saturday-03,57942554-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421905,S1-Sa03-10-s1-1
10-2256,GLINE_2-S1-Sa-Saturday-03,57942555-GLINE_2-S1-Sa-Saturday-03,"to Downtown Seattle",1,6421904,S1-Sa03-10-s1-1
