route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
11-2255,GLINE_2-S1-Su-Sunday-04,57940676-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421872,S1-Su04-11-s1-1
11-2255,GLINE_2-S1-Su-Sunday-04,57940677-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421872,S1-Su04-11-s1-1
11-2255,GLINE_2-S1-Su-Sunday-04,57940678-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421872,S1-Su04-11-s1-1
11-2255,GLINE_2-S1-Su-Sunday-04,57940679-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421872,S1-Su04-11-s1-1
11-2255,GLINE_2-S1-Su-Sunday-04,57940680-GLINE_2-S1-Su-Sunday-04,"to Madison Park",0,6421872,S1-Su04-11-n1-0
11-2255,GLINE_2-S1-Su-Sunday-04,57940685-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421871,S1-Su04-11-s1-1
11-2255,GLINE_2-S1-Su-Sunday-04,57940686-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421872,S1-Su04-11-s1-1
11-2255,GLINE_2-S1-Su-Sunday-04,57940687-GLINE_2-S1-Su-Sunday-04,"to Madison Park",0,6421872,S1-Su04-11-n1-0
11-2255,GLINE_2-S1-Su-Sunday-04,57940691-GLINE_2-S1-Su-Sunday-04,"to Madison Park",0,6421872,S1-Su04-11-n1-0
11-2255,GLINE_2-S1-Su-Sunday-04,57940695-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421871,S1-Su04-11-s1-1
11-2255,GLINE_2-S1-Su-Sunday-04,57940697-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421871,S1-Su04-11-s1-1
8-2255,GLINE_2-S1-Su-Sunday-04,57940698-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57940699-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57940700-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
11-2255,GLINE_2-S1-Su-Sunday-04,57940705-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421872,S1-Su04-11-s1-1
11-2255,GLINE_2-S1-Su-Sunday-04,57940706-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421871,S1-Su04-11-s1-1
8-2255,GLINE_2-S1-Su-Sunday-04,57940707-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940708-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940709-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940710-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940711-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940712-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940713-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940714-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940715-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940716-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940717-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940718-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940719-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940720-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940721-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940722-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940723-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940724-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57940725-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57940726-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57940727-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57940728-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57940729-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940730-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940731-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940732-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940733-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
11-2255,GLINE_2-S1-Su-Sunday-04,57940734-GLINE_2-S1-Su-Sunday-04,"to Madison Park",0,6421872,S1-Su04-11-n1-0
11-2255,GLINE_2-S1-Su-Sunday-04,57940735-GLINE_2-S1-Su-Sunday-04,"to Madison Park",0,6421871,S1-Su04-11-n1-0
11-2255,GLINE_2-S1-Su-Sunday-04,57940736-GLINE_2-S1-Su-Sunday-04,"to Madison Park",0,6421872,S1-Su04-11-n1-0
11-2255,GLINE_2-S1-Su-Sunday-04,57940737-GLINE_2-S1-Su-Sunday-04,"to Madison Park",0,6421871,S1-Su04-11-n1-0
11-2255,GLINE_2-S1-Su-Sunday-04,57940738-GLINE_2-S1-Su-Sunday-04,"to Madison Park",0,6421872,S1-Su04-11-n1-0
11-2255,GLINE_2-S1-Su-Sunday-04,57940739-GLINE_2-S1-Su-Sunday-04,"to Madison Park",0,6421871,S1-Su04-11-n1-0
11-2255,GLINE_2-S1-Su-Sunday-04,57940740-GLINE_2-S1-Su-Sunday-04,"to Madison Park",0,6421872,S1-Su04-11-n1-0
11-2255,GLINE_2-S1-Su-Sunday-04,57940741-GLINE_2-S1-Su-Sunday-04,"to Madison Park",0,6421871,S1-Su04-11-n1-0
8-2255,GLINE_2-S1-Su-Sunday-04,57940742-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940743-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940744-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940745-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940746-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940747-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940748-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940749-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940750-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940751-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940752-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940753-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940754-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940755-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
