route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
49-2254,GLINE_2-S1-Wk-Weekday-05,57939120-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421830,S1-Wk05-49-s1-1
11-2254,GLINE_2-S1-Wk-Weekday-05,57939121-GLINE_2-S1-Wk-Weekday-05,"to Madison Park",0,6421820,S1-Wk05-11-n1-0
11-2254,GLINE_2-S1-Wk-Weekday-05,57939122-GLINE_2-S1-Wk-Weekday-05,"to Madison Park",0,6421821,S1-Wk05-11-n1-0
11-2254,GLINE_2-S1-Wk-Weekday-05,57939123-GLINE_2-S1-Wk-Weekday-05,"to Madison Park",0,6421821,S1-Wk05-11-n1-0
11-2254,GLINE_2-S1-Wk-Weekday-05,57939124-GLINE_2-S1-Wk-Weekday-05,"to Madison Park",0,6421820,S1-Wk05-11-n1-0
11-2254,GLINE_2-S1-Wk-Weekday-05,57939125-GLINE_2-S1-Wk-Weekday-05,"to Madison Park",0,6421821,S1-Wk05-11-n1-0
11-2254,GLINE_2-S1-Wk-Weekday-05,57939126-GLINE_2-S1-Wk-Weekday-05,"to Madison Park",0,6421820,S1-Wk05-11-n1-0
11-2254,GLINE_2-S1-Wk-Weekday-05,57939127-GLINE_2-S1-Wk-Weekday-05,"to Madison Park",0,6421821,S1-Wk05-11-n1-0
11-2254,GLINE_2-S1-Wk-Weekday-05,57939128-GLINE_2-S1-Wk-Weekday-05,"to Madison Park",0,6421820,S1-Wk05-11-n1-0
11-2254,GLINE_2-S1-Wk-Weekday-05,57939129-GLINE_2-S1-Wk-Weekday-05,"to Madison Park",0,6421821,S1-Wk05-11-n1-0
11-2254,GLINE_2-S1-Wk-Weekday-05,57939130-GLINE_2-S1-Wk-Weekday-05,"to Madison Park",0,6421820,S1-Wk05-11-n1-0
11-2254,GLINE_2-S1-Wk-Weekday-05,57939131-GLINE_2-S1-Wk-Weekday-05,"to Madison Park",0,6421822,S1-Wk05-11-n1-0
11-2254,GLINE_2-S1-Wk-Weekday-05,57939132-GLINE_2-S1-Wk-Weekday-05,"to Madison Park",0,6421821,S1-Wk05-11-n1-0
11-2254,GLINE_2-S1-Wk-Weekday-05,57939133-GLINE_2-S1-Wk-Weekday-05,"to Madison Park",0,6421820,S1-Wk05-11-n1-0
11-2254,GLINE_2-S1-Wk-Weekday-05,57939134-GLINE_2-S1-Wk-Weekday-05,"to Madison Park",0,6421822,S1-Wk05-11-n1-0
11-2254,GLINE_2-S1-Wk-Weekday-05,57939135-GLINE_2-S1-Wk-Weekday-05,"to Madison Park",0,6421822,S1-Wk05-11-n1-0
11-2254,GLINE_2-S1-Wk-Weekday-05,57939136-GLINE_2-S1-Wk-Weekday-05,"to Madison Park",0,6421820,S1-Wk05-11-n1-0
